Company,Ticker,Sector,Sub-Industry
Adobe Inc.,ADBE,Information Technology,Application Software
Alphabet Inc. (Class A),GOOGL,Communication Services,Interactive Media & Services
Alphabet Inc. (Class C),GOOG,Communication Services,Interactive Media & Services
Amazon,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
Advanced Micro Devices Inc.,AMD,Information Technology,Semiconductors
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
Applied Materials,AMAT,Information Technology,Semiconductor Equipment
ASML Holding,ASML,Information Technology,Semiconductor Equipment
Broadcom Inc.,AVGO,Information Technology,Semiconductors
Cadence Design Systems,CDNS,Information Technology,Application Software
Constellation Energy,CEG,Utilities,Multi-Utilities
Copart,CPRT,Industrials,Diversified Support Services
CoStar Group,CSGP,Industrials,Research & Consulting Services
CrowdStrike,CRWD,Information Technology,Application Software
Datadog,DDOG,Information Technology,Application Software
Dollar Tree,DLTR,Consumer Discretionary,General Merchandise Stores
Fortinet,FTNT,Information Technology,Systems Software
KLA Corporation,KLAC,Information Technology,Semiconductor Equipment
Lam Research,LRCX,Information Technology,Semiconductor Equipment
Marvell Technology,MRVL,Information Technology,Application Software
Meta Platforms,META,Communication Services,Interactive Media & Services
Micron Technology,MU,Information Technology,Semiconductors
Microsoft,MSFT,Information Technology,Systems Software
Monster Beverage,MNST,Consumer Staples,Soft Drinks
Netflix,NFLX,Communication Services,Movies & Entertainment
Nvidia,NVDA,Information Technology,Semiconductors
Palo Alto Networks,PANW,Information Technology,Application Software
Synopsys,SNPS,Information Technology,Application Software
Verisk,VRSK,Industrials,Research & Consulting Services
"Workday, Inc.",WDAY,Information Technology,Application Software
