Company,Ticker,Industry,Index Weighting
"[<th scope=""row""><a href=""/wiki/3M"" title=""3M"">3M</a>
</th>]",MMM,Conglomerate,2.41%
"[<th scope=""row""><a href=""/wiki/American_Express"" title=""American Express"">American Express</a>
</th>]",AXP,Financial services,3.02%
"[<th scope=""row""><a href=""/wiki/Amgen"" title=""Amgen"">Amgen</a>
</th>]",AMGN,Biopharmaceutical,5.48%
"[<th scope=""row""><a href=""/wiki/Apple_Inc."" title=""Apple Inc."">Apple</a>
</th>]",AAPL,Information technology,2.84%
"[<th scope=""row""><a href=""/wiki/Boeing"" title=""Boeing"">Boeing</a>
</th>]",BA,Aerospace and defense,3.36%
"[<th scope=""row""><a href=""/wiki/Caterpillar_Inc."" title=""Caterpillar Inc."">Caterpillar</a>
</th>]",CAT,Construction and mining,4.52%
"[<th scope=""row""><a href=""/wiki/Chevron_Corporation"" title=""Chevron Corporation"">Chevron</a>
</th>]",CVX,Petroleum industry,3.50%
"[<th scope=""row""><a href=""/wiki/Cisco"" title=""Cisco"">Cisco</a>
</th>]",CSCO,Information technology,0.96%
"[<th scope=""row""><a href=""/wiki/The_Coca-Cola_Company"" title=""The Coca-Cola Company"">Coca-Cola</a>
</th>]",KO,Drink industry,1.22%
"[<th scope=""row""><a class=""mw-redirect"" href=""/wiki/Dow_Inc."" title=""Dow Inc."">Dow</a>
</th>]",DOW,Chemical industry,0.98%
"[<th scope=""row""><a href=""/wiki/Goldman_Sachs"" title=""Goldman Sachs"">Goldman Sachs</a>
</th>]",GS,Financial services,7.36%
"[<th scope=""row""><a href=""/wiki/The_Home_Depot"" title=""The Home Depot"">Home Depot</a>
</th>]",HD,Home Improvement,6.27%
"[<th scope=""row""><a href=""/wiki/Honeywell"" title=""Honeywell"">Honeywell</a>
</th>]",HON,Conglomerate,4.17%
"[<th scope=""row""><a href=""/wiki/IBM"" title=""IBM"">IBM</a>
</th>]",IBM,Information technology,2.86%
"[<th scope=""row""><a href=""/wiki/Intel"" title=""Intel"">Intel</a>
</th>]",INTC,Semiconductor industry,0.57%
"[<th scope=""row""><a href=""/wiki/Johnson_%26_Johnson"" title=""Johnson &amp; Johnson"">Johnson &amp; Johnson</a>
</th>]",JNJ,Pharmaceutical industry,3.43%
"[<th scope=""row""><a href=""/wiki/JPMorgan_Chase"" title=""JPMorgan Chase"">JPMorgan Chase</a>
</th>]",JPM,Financial services,2.61%
"[<th scope=""row""><a href=""/wiki/McDonald%27s"" title=""McDonald's"">McDonald's</a>
</th>]",MCD,Food industry,5.24%
"[<th scope=""row""><a href=""/wiki/Microsoft"" title=""Microsoft"">Microsoft</a>
</th>]",MSFT,Information technology,4.88%
"[<th scope=""row""><a href=""/wiki/Procter_%26_Gamble"" title=""Procter &amp; Gamble"">Procter &amp; Gamble</a>
</th>]",PG,Fast-moving consumer goods,2.86%
"[<th scope=""row""><a href=""/wiki/Salesforce"" title=""Salesforce"">Salesforce</a>
</th>]",CRM,Information technology,2.82%
"[<th scope=""row""><a href=""/wiki/The_Travelers_Companies"" title=""The Travelers Companies"">Travelers</a>
</th>]",TRV,Insurance,3.62%
"[<th scope=""row""><a href=""/wiki/UnitedHealth_Group"" title=""UnitedHealth Group"">UnitedHealth Group</a>
</th>]",UNH,Managed health care,10.29%
"[<th scope=""row""><a href=""/wiki/Visa_Inc."" title=""Visa Inc."">Visa</a>
</th>]",V,Financial services,4.16%
"[<th scope=""row""><a href=""/wiki/Walgreens_Boots_Alliance"" title=""Walgreens Boots Alliance"">Walgreens Boots Alliance</a>
</th>]",WBA,Retailing,0.79%
