Company,Ticker,Sector,Sub-Industry
Align Technology,ALGN,Health Care,Health Care Supplies
Advanced Micro Devices Inc.,AMD,Information Technology,Semiconductors
ASML Holding,ASML,Information Technology,Semiconductor Equipment
Atlassian,TEAM,Information Technology,Application Software
Biogen,BIIB,Health Care,Biotechnology
Cognizant,CTSH,Information Technology,IT Consulting & Other Services
Dollar Tree,DLTR,Consumer Discretionary,General Merchandise Stores
Fastenal,FAST,Industrials,Building Products
KLA Corporation,KLAC,Information Technology,Semiconductor Equipment
Kraft Heinz,KHC,Consumer Staples,Packaged Foods & Meats
Lucid Motors,LCID,Consumer Discretionary,Automobile Manufacturers
Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Meta Platforms,META,Communication Services,Interactive Media & Services
Moderna,MRNA,Health Care,Biotechnology
Mondelēz International,MDLZ,Consumer Staples,Packaged Foods & Meats
Netflix,NFLX,Communication Services,Movies & Entertainment
O'Reilly Automotive,ORLY,Consumer Discretionary,Specialty Stores
Regeneron,REGN,Health Care,Biotechnology
Seagen,SGEN,Health Care,Biotechnology
Starbucks,SBUX,Consumer Discretionary,Restaurants
Warner Bros. Discovery,WBD,Communication Services,Broadcasting
