Company,Ticker,Sector,Sub-Industry
10x Genomics,TXG,Health Care,
Abbott,ABT,Health Care,Health Care Equipment
Acadia Healthcare,ACHC,Health Care,Health Care Facilities
Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
Acuity Brands,AYI,Industrials,Electrical Components & Equipment
ADP,ADP,Industrials,Human Resource & Employment Services
ADT,ADT,Consumer Discretionary,
AECOM,ACM,Industrials,Construction & Engineering
AES,AES,Utilities,Independent Power Producers & Energy Traders
Aflac,AFL,Financials,Life & Health Insurance
Agilent Technologies,A,Health Care,Health Care Equipment
AGNC Investment,AGNC,Financials,
AIG,AIG,Financials,Property & Casualty Insurance
Air Lease Corporation,AL,Industrials,
Air Products and Chemicals,APD,Materials,Industrial Gases
Airbnb,ABNB,Consumer Discretionary,Internet & Direct Marketing Retail
Albemarle,ALB,Materials,Specialty Chemicals
Albertsons,ACI,Consumer Staples,
Alcoa,AA,Materials,Aluminum
Alexandria,ARE,Real Estate,Office REITs
Align,ALGN,Health Care,Health Care Supplies
Allegion,ALLE,Industrials,Building Products
Allegro MicroSystems,ALGM,Information Technology,
Alliant Energy,LNT,Utilities,Electric Utilities
Ally,ALLY,Financials,
Alnylam,ALNY,Health Care,
Alteryx,AYX,Information Technology,
Altice USA,ATUS,Communication Services,
Altria,MO,Consumer Staples,Tobacco
AMC Theatres (Class A),AMC,Communication Services,
Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials
Amdocs,DOX,Information Technology,
Amedisys,AMED,Health Care,Health Care Services
American Electric Power,AEP,Utilities,Electric Utilities
American Financial Group,AFG,Financials,Multi-line Insurance
American Homes 4 Rent,AMH,Real Estate,
American Tower,AMT,Real Estate,Telecom Tower REITs
American Water,AWK,Utilities,Water Utilities
Americold,COLD,Real Estate,
Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
Ametek,AME,Industrials,Electrical Components & Equipment
AMG,AMG,Financials,Asset Management & Custody Banks
Amgen,AMGN,Health Care,Biotechnology
Amphenol,APH,Information Technology,Electronic Components
Analog Devices,ADI,Information Technology,Semiconductors
Annaly,NLY,Financials,
Ansys,ANSS,Information Technology,Application Software
Antero Midstream,AM,Energy,
AON,AON,Financials,Insurance Brokers
APA Corporation,APA,Energy,Oil & Gas Exploration & Production
Apartment Income REIT,AIRC,Real Estate,
AptarGroup,ATR,Materials,"Metal, Glass & Plastic Containers"
Aptiv,APTV,Consumer Discretionary,Automotive Parts & Equipment
Ardagh Metal Packaging,AMBP,Materials,
Arista,ANET,Information Technology,Communications Equipment
Armstrong World Industries,AWI,Industrials,
Aspen Technology,AZPN,Information Technology,Application Software
Assurant,AIZ,Financials,Multi-line Insurance
Assured Guaranty,AGO,Financials,
