Company,Ticker,Sector,Sub-Industry
Alaska Air Group,ALK,Industrials,Passenger Airlines
Align Technology,ALGN,Health Care,Health Care Supplies
American Airlines Group,AAL,Industrials,Passenger Airlines
AmerisourceBergen,ABC,Health Care,Health Care Distributors
Ametek,AME,Industrials,Electrical Components & Equipment
Amphenol,APH,Information Technology,Electronic Components
Aon,AON,Financials,Insurance Brokers
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
Applied Materials,AMAT,Information Technology,Semiconductor Materials & Equipment
Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers
Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services
Best Buy,BBY,Consumer Discretionary,Computer & Electronics Retail
Broadridge Financial Solutions,BR,Industrials,Data Processing & Outsourced Services
Brown & Brown,BRO,Financials,Insurance Brokers
Cardinal Health,CAH,Health Care,Health Care Distributors
CarMax,KMX,Consumer Discretionary,Automotive Retail
Carnival,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Carrier Global,CARR,Industrials,Building Products
Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants
Church & Dwight,CHD,Consumer Staples,Household Products
Constellation Brands,STZ,Consumer Staples,Distillers & Vintners
Copart,CPRT,Industrials,Diversified Support Services
CoStar Group,CSGP,Industrials,Research & Consulting Services
Costco,COST,Consumer Staples,Consumer Staples Merchandise Retail
CSX,CSX,Industrials,Rail Transportation
Cummins,CMI,Industrials,Industrial Machinery & Supplies & Components
D.R. Horton,DHI,Consumer Discretionary,Homebuilding
DaVita Inc.,DVA,Health Care,Health Care Facilities
Delta Air Lines,DAL,Industrials,Passenger Airlines
Digital Realty,DLR,Real Estate,Data Center REITs
Eaton Corporation,ETN,Industrials,Electrical Components & Equipment
Ecolab,ECL,Materials,Specialty Chemicals
Edwards Lifesciences,EW,Health Care,Health Care Equipment
Eli Lilly and Company,LLY,Health Care,Pharmaceuticals
Emerson Electric,EMR,Industrials,Electrical Components & Equipment
EQT,EQT,Energy,Oil & Gas Exploration & Production
Equifax,EFX,Industrials,Research & Consulting Services
Fastenal,FAST,Industrials,Building Products
FedEx,FDX,Industrials,Air Freight & Logistics
Fiserv,FI,Financials,Transaction & Payment Processing Services
Fleetcor,FLT,Financials,Transaction & Payment Processing Services
Ford Motor Company,F,Consumer Discretionary,Automobile Manufacturers
Fortinet,FTNT,Information Technology,Systems Software
Fortive,FTV,Industrials,Industrial Machinery & Supplies & Components
Generac,GNRC,Industrials,Electrical Components & Equipment
General Electric,GE,Industrials,Industrial Conglomerates
General Motors,GM,Consumer Discretionary,Automobile Manufacturers
HCA Healthcare,HCA,Health Care,Health Care Facilities
Howmet Aerospace,HWM,Industrials,Aerospace & Defense
Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense
Intuitive Surgical,ISRG,Health Care,Health Care Equipment
IQVIA,IQV,Health Care,Life Sciences Tools & Services
Johnson Controls,JCI,Industrials,Building Products
LabCorp,LH,Health Care,Health Care Services
Lennar,LEN,Consumer Discretionary,Homebuilding
Live Nation Entertainment,LYV,Communication Services,Movies & Entertainment
Marsh McLennan,MMC,Financials,Insurance Brokers
Martin Marietta Materials,MLM,Materials,Construction Materials
McCormick & Company,MKC,Consumer Staples,Packaged Foods & Meats
McKesson,MCK,Health Care,Health Care Distributors
Meta Platforms,META,Communication Services,Interactive Media & Services
Microchip Technology,MCHP,Information Technology,Semiconductors
NetApp,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals"
Nordson Corporation,NDSN,Industrials,Industrial Machinery & Supplies & Components
Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders
Nucor,NUE,Materials,Steel
"NVR, Inc.",NVR,Consumer Discretionary,Homebuilding
NXP Semiconductors,NXPI,Information Technology,Semiconductors
Old Dominion,ODFL,Industrials,Cargo Ground Transportation
ON Semiconductor,ON,Information Technology,Semiconductors
