Name,Ticker,Price,Market Cap
Bitcoin,BTC-USD,"$29,785.12","$578,835,791,988"
Ethereum,ETH-USD,"$1,899.24","$228,279,878,144"
BNB,BNB-USD,$240.31,"$37,455,471,726"
CUSD Coin,USDC-USD,$0.9998,"$26,984,461,257"
Cardano,ADA-USD,$0.3048,"$10,661,605,106"
EDogecoin,DOGE-USD,$0.06842,"$9,594,792,907"
TRON,TRX-USD,$0.07975,"$7,156,995,753"
ICPolygon,MATIC-USD,$0.7357,"$6,856,305,503"
Litecoin,LTC-USD,$91.06,"$6,682,841,750"
Polkadot,DOT-USD,$5.16,"$6,228,213,047"
Toncoin,TON-USD,$1.40,"$4,802,630,007"
Bitcoin Cash,BCH-USD,$244.54,"$4,756,811,428"
XAvalanche,AVAX-USD,$13.71,"$4,743,138,974"
CWrapped Bitcoin,WBTC-USD,"$29,802.93","$4,708,111,443"
Dai,DAI-USD,$0.9997,"$4,622,908,463"
BShiba Inu,SHIB-USD,$0.000007691,"$4,532,927,451"
