Company,Ticker,Sector,Sub-Industry
Airbnb,ABNB,Consumer Discretionary,Internet & Direct Marketing Retail
Align Technology,ALGN,Health Care,Health Care Supplies
Amazon,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
Ansys,ANSS,Information Technology,Application Software
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
Applied Materials,AMAT,Information Technology,Semiconductor Equipment
Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services
Cognizant,CTSH,Information Technology,IT Consulting & Other Services
Constellation Energy,CEG,Utilities,Multi-Utilities
Copart,CPRT,Industrials,Diversified Support Services
CoStar Group,CSGP,Industrials,Research & Consulting Services
Costco,COST,Consumer Staples,Hypermarkets & Super Centers
CSX Corporation,CSX,Industrials,Railroads
Datadog,DDOG,Information Technology,Application Software
DexCom,DXCM,Health Care,Health Care Equipment
Electronic Arts,EA,Communication Services,Interactive Home Entertainment
Fastenal,FAST,Industrials,Building Products
Fortinet,FTNT,Information Technology,Systems Software
Idexx Laboratories,IDXX,Health Care,Health Care Equipment
Intuitive Surgical,ISRG,Health Care,Health Care Equipment
Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marvell Technology,MRVL,Information Technology,Application Software
Meta Platforms,META,Communication Services,Interactive Media & Services
Microchip Technology,MCHP,Information Technology,Semiconductors
Nvidia,NVDA,Information Technology,Semiconductors
NXP,NXPI,Information Technology,Semiconductors
Old Dominion Freight Line,ODFL,Industrials,Trucking
Onsemi,ON,Information Technology,Semiconductors
Paccar,PCAR,Industrials,Construction Machinery & Heavy Trucks
Palo Alto Networks,PANW,Information Technology,Application Software
Paychex,PAYX,Information Technology,Data Processing & Outsourced Services
Ross Stores,ROST,Consumer Discretionary,Apparel Retail
Sirius XM,SIRI,Communication Services,Broadcasting
"Tesla, Inc.",TSLA,Consumer Discretionary,Automobile Manufacturers
The Trade Desk,TTD,Communication Services,
