Company,Ticker,Sector,Sub-Industry
A. O. Smith,AOS,Industrials,Building Products
Abbott,ABT,Health Care,Health Care Equipment
AbbVie,ABBV,Health Care,Pharmaceuticals
Accenture,ACN,Information Technology,IT Consulting & Other Services
ADM,ADM,Consumer Staples,Agricultural Products & Services
Adobe Inc.,ADBE,Information Technology,Application Software
ADP,ADP,Industrials,Human Resource & Employment Services
Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail
AES Corporation,AES,Utilities,Independent Power Producers & Energy Traders
Aflac,AFL,Financials,Life & Health Insurance
Agilent Technologies,A,Health Care,Health Care Equipment
Air Products and Chemicals,APD,Materials,Industrial Gases
Akamai,AKAM,Information Technology,Internet Services & Infrastructure
Albemarle Corporation,ALB,Materials,Specialty Chemicals
Alexandria Real Estate Equities,ARE,Real Estate,Office REITs
Allegion,ALLE,Industrials,Building Products
Alliant Energy,LNT,Utilities,Electric Utilities
Alphabet Inc. (Class A),GOOGL,Communication Services,Interactive Media & Services
Alphabet Inc. (Class C),GOOG,Communication Services,Interactive Media & Services
Altria,MO,Consumer Staples,Tobacco
Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials
AMD,AMD,Information Technology,Semiconductors
Ameren,AEE,Utilities,Multi-Utilities
American Electric Power,AEP,Utilities,Electric Utilities
American Express,AXP,Financials,Consumer Finance
American International Group,AIG,Financials,Property & Casualty Insurance
American Tower,AMT,Real Estate,Telecom Tower REITs
American Water Works,AWK,Utilities,Water Utilities
Amgen,AMGN,Health Care,Biotechnology
APA Corporation,APA,Energy,Oil & Gas Exploration & Production
Arch Capital Group,ACGL,Financials,Reinsurance
Arista Networks,ANET,Information Technology,Communications Equipment
Assurant,AIZ,Financials,Multi-line Insurance
Atmos Energy,ATO,Utilities,Gas Utilities
Autodesk,ADSK,Information Technology,Application Software
AutoZone,AZO,Consumer Discretionary,Specialty Stores
Avery Dennison,AVY,Materials,Paper & Plastic Packaging Products & Materials
Axon Enterprise,AXON,Industrials,Aerospace & Defense
Ball Corporation,BALL,Materials,"Metal, Glass & Plastic Containers"
Bank of America,BAC,Financials,Diversified Banks
Baxter International,BAX,Health Care,Health Care Equipment
Becton Dickinson,BDX,Health Care,Health Care Equipment
Berkley,WRB,Financials,Property & Casualty Insurance
Best Buy,BBY,Consumer Discretionary,Computer & Electronics Retail
Bio-Rad,BIO,Health Care,Life Sciences Tools & Services
Bio-Techne,TECH,Health Care,Life Sciences Tools & Services
BNY Mellon,BK,Financials,Asset Management & Custody Banks
Boeing,BA,Industrials,Aerospace & Defense
Booking Holdings,BKNG,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Boston Properties,BXP,Real Estate,Office REITs
Boston Scientific,BSX,Health Care,Health Care Equipment
Bristol Myers Squibb,BMY,Health Care,Pharmaceuticals
Broadcom Inc.,AVGO,Information Technology,Semiconductors
Brown–Forman,BF.B,Consumer Staples,Distillers & Vintners
Bunge Limited,BG,Consumer Staples,Agricultural Products & Services
C.H. Robinson,CHRW,Industrials,Air Freight & Logistics
Cadence Design Systems,CDNS,Information Technology,Application Software
Caesars Entertainment,CZR,Consumer Discretionary,Casinos & Gaming
Camden Property Trust,CPT,Real Estate,Residential REITs
Campbell Soup Company,CPB,Consumer Staples,Packaged Foods & Meats
Capital One,COF,Financials,Consumer Finance
CarMax,KMX,Consumer Discretionary,Automotive Retail
Catalent,CTLT,Health Care,Pharmaceuticals
Cboe Global Markets,CBOE,Financials,Financial Exchanges & Data
CDW,CDW,Information Technology,Technology Distributors
Celanese,CE,Materials,Specialty Chemicals
CenterPoint Energy,CNP,Utilities,Multi-Utilities
Ceridian,CDAY,Information Technology,Application Software
CF Industries,CF,Materials,Fertilizers & Agricultural Chemicals
Charles River Laboratories,CRL,Health Care,Life Sciences Tools & Services
Charles Schwab Corporation,SCHW,Financials,Investment Banking & Brokerage
Charter Communications,CHTR,Communication Services,Cable & Satellite
Chevron Corporation,CVX,Energy,Integrated Oil & Gas
Chubb Limited,CB,Financials,Property & Casualty Insurance
Cigna,CI,Health Care,Managed Health Care
Cincinnati Financial,CINF,Financials,Property & Casualty Insurance
Cintas,CTAS,Industrials,Diversified Support Services
Cisco,CSCO,Information Technology,Communications Equipment
Citizens Financial Group,CFG,Financials,Regional Banks
Clorox,CLX,Consumer Staples,Household Products
CME Group,CME,Financials,Financial Exchanges & Data
CMS Energy,CMS,Utilities,Multi-Utilities
Colgate-Palmolive,CL,Consumer Staples,Household Products
Comcast,CMCSA,Communication Services,Cable & Satellite
Comerica,CMA,Financials,Diversified Banks
Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats
ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production
Consolidated Edison,ED,Utilities,Electric Utilities
Corning Inc.,GLW,Information Technology,Electronic Components
Corteva,CTVA,Materials,Fertilizers & Agricultural Chemicals
Coterra,CTRA,Energy,Oil & Gas Exploration & Production
Crown Castle,CCI,Real Estate,Telecom Tower REITs
CVS Health,CVS,Health Care,Health Care Services
Danaher Corporation,DHR,Health Care,Health Care Equipment
Darden Restaurants,DRI,Consumer Discretionary,Restaurants
John Deere,DE,Industrials,Agricultural & Farm Machinery
Dentsply Sirona,XRAY,Health Care,Health Care Supplies
Devon Energy,DVN,Energy,Oil & Gas Exploration & Production
Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production
Discover Financial,DFS,Financials,Consumer Finance
Disney,DIS,Communication Services,Movies & Entertainment
Dollar General,DG,Consumer Staples,Consumer Staples Merchandise Retail
Dollar Tree,DLTR,Consumer Staples,Consumer Staples Merchandise Retail
Dominion Energy,D,Utilities,Electric Utilities
Dover Corporation,DOV,Industrials,Industrial Machinery & Supplies & Components
Dow Inc.,DOW,Materials,Commodity Chemicals
